Product Name,Description,Reviewer Name,Review Title,Review,Date,Rating,Verified Purchase,Helpful Votes
"Tree Hut Vitamin C Shea Sugar Scrub, 18 oz, Ultra Hydrating and Exfoliating Scrub for Nourishing Essential Body Care","Our Tree Hut Vitamin C Sugar Scrub contains vitamin C, a powerhouse antioxidant that is known to help boost skin for a brighter, firmer, and more even-toned appearance. This Tree Hut Vitamin C Scrub also contains alpha-hydroxy acid (AHA) which can help to reveal a fresher-looking tone and texture. Sugar is Tree Hut’s natural exfoliant: it effectively polishes away dead skin while helping to boost circulation to the skin surface. Tree Hut exfoliating body scrub removes dull, dry skin to reveal glowing, soft, smooth skin. Deeply nourish and balance skin’s hydration to help restore skin's natural glow with Tree Hut Vitamin C Sugar Scrub. Natural Shea Butter is known to deeply moisturize, nourish, and soften dry skin while helping to promote elasticity. Natural oils condition skin to help prevent dryness and balance hydration for a refined, healthy glow. Tree Hut Shea Sugar Scrubs feature a 6-oil blend of: avocado oil, macadamia oil, sweet orange oil, sweet almond oil, evening primrose oil, and safflower oil.",Rebecca,Order,It’s just what she wanted,9/20/2024,5,Yes,0
"Tree Hut Vitamin C Shea Sugar Scrub, 18 oz, Ultra Hydrating and Exfoliating Scrub for Nourishing Essential Body Care","Our Tree Hut Vitamin C Sugar Scrub contains vitamin C, a powerhouse antioxidant that is known to help boost skin for a brighter, firmer, and more even-toned appearance. This Tree Hut Vitamin C Scrub also contains alpha-hydroxy acid (AHA) which can help to reveal a fresher-looking tone and texture. Sugar is Tree Hut’s natural exfoliant: it effectively polishes away dead skin while helping to boost circulation to the skin surface. Tree Hut exfoliating body scrub removes dull, dry skin to reveal glowing, soft, smooth skin. Deeply nourish and balance skin’s hydration to help restore skin's natural glow with Tree Hut Vitamin C Sugar Scrub. Natural Shea Butter is known to deeply moisturize, nourish, and soften dry skin while helping to promote elasticity. Natural oils condition skin to help prevent dryness and balance hydration for a refined, healthy glow. Tree Hut Shea Sugar Scrubs feature a 6-oil blend of: avocado oil, macadamia oil, sweet orange oil, sweet almond oil, evening primrose oil, and safflower oil.",NAGA AJAY,It’s working very well,It’s smooth,9/26/2024,5,Yes,0
"Tree Hut Vitamin C Shea Sugar Scrub, 18 oz, Ultra Hydrating and Exfoliating Scrub for Nourishing Essential Body Care","Our Tree Hut Vitamin C Sugar Scrub contains vitamin C, a powerhouse antioxidant that is known to help boost skin for a brighter, firmer, and more even-toned appearance. This Tree Hut Vitamin C Scrub also contains alpha-hydroxy acid (AHA) which can help to reveal a fresher-looking tone and texture. Sugar is Tree Hut’s natural exfoliant: it effectively polishes away dead skin while helping to boost circulation to the skin surface. Tree Hut exfoliating body scrub removes dull, dry skin to reveal glowing, soft, smooth skin. Deeply nourish and balance skin’s hydration to help restore skin's natural glow with Tree Hut Vitamin C Sugar Scrub. Natural Shea Butter is known to deeply moisturize, nourish, and soften dry skin while helping to promote elasticity. Natural oils condition skin to help prevent dryness and balance hydration for a refined, healthy glow. Tree Hut Shea Sugar Scrubs feature a 6-oil blend of: avocado oil, macadamia oil, sweet orange oil, sweet almond oil, evening primrose oil, and safflower oil.",Sandra Ferrell,Perfect for bikini bumps; old & new,Best product I’ve found. I got a sample in my Etsy bag and HAD to buy the big bottle. Works magic.,9/9/2024,5,Yes,0
"Tree Hut Vitamin C Shea Sugar Scrub, 18 oz, Ultra Hydrating and Exfoliating Scrub for Nourishing Essential Body Care","Our Tree Hut Vitamin C Sugar Scrub contains vitamin C, a powerhouse antioxidant that is known to help boost skin for a brighter, firmer, and more even-toned appearance. This Tree Hut Vitamin C Scrub also contains alpha-hydroxy acid (AHA) which can help to reveal a fresher-looking tone and texture. Sugar is Tree Hut’s natural exfoliant: it effectively polishes away dead skin while helping to boost circulation to the skin surface. Tree Hut exfoliating body scrub removes dull, dry skin to reveal glowing, soft, smooth skin. Deeply nourish and balance skin’s hydration to help restore skin's natural glow with Tree Hut Vitamin C Sugar Scrub. Natural Shea Butter is known to deeply moisturize, nourish, and soften dry skin while helping to promote elasticity. Natural oils condition skin to help prevent dryness and balance hydration for a refined, healthy glow. Tree Hut Shea Sugar Scrubs feature a 6-oil blend of: avocado oil, macadamia oil, sweet orange oil, sweet almond oil, evening primrose oil, and safflower oil.",Mark,Somehow efffective,It doesn't cure my KP but removes the clogged hair glands.,7/29/2024,4,Yes,0
"Tree Hut Vitamin C Shea Sugar Scrub, 18 oz, Ultra Hydrating and Exfoliating Scrub for Nourishing Essential Body Care","Our Tree Hut Vitamin C Sugar Scrub contains vitamin C, a powerhouse antioxidant that is known to help boost skin for a brighter, firmer, and more even-toned appearance. This Tree Hut Vitamin C Scrub also contains alpha-hydroxy acid (AHA) which can help to reveal a fresher-looking tone and texture. Sugar is Tree Hut’s natural exfoliant: it effectively polishes away dead skin while helping to boost circulation to the skin surface. Tree Hut exfoliating body scrub removes dull, dry skin to reveal glowing, soft, smooth skin. Deeply nourish and balance skin’s hydration to help restore skin's natural glow with Tree Hut Vitamin C Sugar Scrub. Natural Shea Butter is known to deeply moisturize, nourish, and soften dry skin while helping to promote elasticity. Natural oils condition skin to help prevent dryness and balance hydration for a refined, healthy glow. Tree Hut Shea Sugar Scrubs feature a 6-oil blend of: avocado oil, macadamia oil, sweet orange oil, sweet almond oil, evening primrose oil, and safflower oil.",llivka,It works!,"I have been struggling to remedy unwanted bumps on the backs of my legs for years and after finding this, I think I have fallen into luck! After just one use, I noticed a difference. I can’t say for certain that I have KP, but regardless, I can tell this works right out of the gate. If you have had success w other products containing AHA and are looking to rid a part of your body of unwanted bumps (aside from your face) I recommend considering this product!",8/5/2024,5,Yes,0
"Tree Hut Vitamin C Shea Sugar Scrub, 18 oz, Ultra Hydrating and Exfoliating Scrub for Nourishing Essential Body Care","Our Tree Hut Vitamin C Sugar Scrub contains vitamin C, a powerhouse antioxidant that is known to help boost skin for a brighter, firmer, and more even-toned appearance. This Tree Hut Vitamin C Scrub also contains alpha-hydroxy acid (AHA) which can help to reveal a fresher-looking tone and texture. Sugar is Tree Hut’s natural exfoliant: it effectively polishes away dead skin while helping to boost circulation to the skin surface. Tree Hut exfoliating body scrub removes dull, dry skin to reveal glowing, soft, smooth skin. Deeply nourish and balance skin’s hydration to help restore skin's natural glow with Tree Hut Vitamin C Sugar Scrub. Natural Shea Butter is known to deeply moisturize, nourish, and soften dry skin while helping to promote elasticity. Natural oils condition skin to help prevent dryness and balance hydration for a refined, healthy glow. Tree Hut Shea Sugar Scrubs feature a 6-oil blend of: avocado oil, macadamia oil, sweet orange oil, sweet almond oil, evening primrose oil, and safflower oil.",Iman Khatib,I was so skeptical!,"I was really skeptical about this product but I can genuinely say it works. I use just a pea size amount of the product on the back of each arm 1-2x per week and let it sit for a minute or two before washing it off. I am extremely impressed that it’s taken away the appearance of the red dots on the back of my arm. I can already tell that with the amount I use, this product will last a long time. No complaints!",7/19/2024,5,Yes,6
"Tree Hut Vitamin C Shea Sugar Scrub, 18 oz, Ultra Hydrating and Exfoliating Scrub for Nourishing Essential Body Care","Our Tree Hut Vitamin C Sugar Scrub contains vitamin C, a powerhouse antioxidant that is known to help boost skin for a brighter, firmer, and more even-toned appearance. This Tree Hut Vitamin C Scrub also contains alpha-hydroxy acid (AHA) which can help to reveal a fresher-looking tone and texture. Sugar is Tree Hut’s natural exfoliant: it effectively polishes away dead skin while helping to boost circulation to the skin surface. Tree Hut exfoliating body scrub removes dull, dry skin to reveal glowing, soft, smooth skin. Deeply nourish and balance skin’s hydration to help restore skin's natural glow with Tree Hut Vitamin C Sugar Scrub. Natural Shea Butter is known to deeply moisturize, nourish, and soften dry skin while helping to promote elasticity. Natural oils condition skin to help prevent dryness and balance hydration for a refined, healthy glow. Tree Hut Shea Sugar Scrubs feature a 6-oil blend of: avocado oil, macadamia oil, sweet orange oil, sweet almond oil, evening primrose oil, and safflower oil.",Little surfer girl,Amazing!,My skin feels so good after each use!,9/14/2024,5,Yes,0
"Tree Hut Vitamin C Shea Sugar Scrub, 18 oz, Ultra Hydrating and Exfoliating Scrub for Nourishing Essential Body Care","Our Tree Hut Vitamin C Sugar Scrub contains vitamin C, a powerhouse antioxidant that is known to help boost skin for a brighter, firmer, and more even-toned appearance. This Tree Hut Vitamin C Scrub also contains alpha-hydroxy acid (AHA) which can help to reveal a fresher-looking tone and texture. Sugar is Tree Hut’s natural exfoliant: it effectively polishes away dead skin while helping to boost circulation to the skin surface. Tree Hut exfoliating body scrub removes dull, dry skin to reveal glowing, soft, smooth skin. Deeply nourish and balance skin’s hydration to help restore skin's natural glow with Tree Hut Vitamin C Sugar Scrub. Natural Shea Butter is known to deeply moisturize, nourish, and soften dry skin while helping to promote elasticity. Natural oils condition skin to help prevent dryness and balance hydration for a refined, healthy glow. Tree Hut Shea Sugar Scrubs feature a 6-oil blend of: avocado oil, macadamia oil, sweet orange oil, sweet almond oil, evening primrose oil, and safflower oil.",Devon,It really works!,I was skeptical but this stuff is magic! I've tried every exfoliating scrub/sponge but THIS is the one! Finallyyyy got rid of my bumpy skin! I use this once or twice a week to keep my skin smooth 🤩,8/27/2024,5,Yes,0
"Tree Hut Vitamin C Shea Sugar Scrub, 18 oz, Ultra Hydrating and Exfoliating Scrub for Nourishing Essential Body Care","Our Tree Hut Vitamin C Sugar Scrub contains vitamin C, a powerhouse antioxidant that is known to help boost skin for a brighter, firmer, and more even-toned appearance. This Tree Hut Vitamin C Scrub also contains alpha-hydroxy acid (AHA) which can help to reveal a fresher-looking tone and texture. Sugar is Tree Hut’s natural exfoliant: it effectively polishes away dead skin while helping to boost circulation to the skin surface. Tree Hut exfoliating body scrub removes dull, dry skin to reveal glowing, soft, smooth skin. Deeply nourish and balance skin’s hydration to help restore skin's natural glow with Tree Hut Vitamin C Sugar Scrub. Natural Shea Butter is known to deeply moisturize, nourish, and soften dry skin while helping to promote elasticity. Natural oils condition skin to help prevent dryness and balance hydration for a refined, healthy glow. Tree Hut Shea Sugar Scrubs feature a 6-oil blend of: avocado oil, macadamia oil, sweet orange oil, sweet almond oil, evening primrose oil, and safflower oil.",grace,I wish I took before and after photos!!,"This decreased the darkness of my KP by at least 50% after the first use!!!! A couple things to specify: the kp on my legs presents as dots with no raised bumps as I shave and exfoliate frequently. The KP on my arms is the regular bumps and dark spots. I’ve also been told my KP is the worst many people have seen (I wish I had before pictures if I can find some I will add them later)By the day after my second use the bumps on my arms were far less raised and less frequent and, compared to before, practically nonexistent! The visibility of the dots on my legs and arms was down about 80% but the bumps were still there. This makes sense and I’m sure they will to continue to lessen.Long story short I wish I coughed up the money (with is the only downside to this product) loooonnng ago. I have NEVER been so confident and excited to wear summer clothes!!",5/20/2024,5,Yes,12
"Tree Hut Vitamin C Shea Sugar Scrub, 18 oz, Ultra Hydrating and Exfoliating Scrub for Nourishing Essential Body Care","Our Tree Hut Vitamin C Sugar Scrub contains vitamin C, a powerhouse antioxidant that is known to help boost skin for a brighter, firmer, and more even-toned appearance. This Tree Hut Vitamin C Scrub also contains alpha-hydroxy acid (AHA) which can help to reveal a fresher-looking tone and texture. Sugar is Tree Hut’s natural exfoliant: it effectively polishes away dead skin while helping to boost circulation to the skin surface. Tree Hut exfoliating body scrub removes dull, dry skin to reveal glowing, soft, smooth skin. Deeply nourish and balance skin’s hydration to help restore skin's natural glow with Tree Hut Vitamin C Sugar Scrub. Natural Shea Butter is known to deeply moisturize, nourish, and soften dry skin while helping to promote elasticity. Natural oils condition skin to help prevent dryness and balance hydration for a refined, healthy glow. Tree Hut Shea Sugar Scrubs feature a 6-oil blend of: avocado oil, macadamia oil, sweet orange oil, sweet almond oil, evening primrose oil, and safflower oil.",amy rizz,pretty good,I haven't seen results yet but it does feel so so nice on my skin. It is like giving myself a massage. and it smells nice.,7/4/2024,4,Yes,0
"Tree Hut Vitamin C Shea Sugar Scrub, 18 oz, Ultra Hydrating and Exfoliating Scrub for Nourishing Essential Body Care","Our Tree Hut Vitamin C Sugar Scrub contains vitamin C, a powerhouse antioxidant that is known to help boost skin for a brighter, firmer, and more even-toned appearance. This Tree Hut Vitamin C Scrub also contains alpha-hydroxy acid (AHA) which can help to reveal a fresher-looking tone and texture. Sugar is Tree Hut’s natural exfoliant: it effectively polishes away dead skin while helping to boost circulation to the skin surface. Tree Hut exfoliating body scrub removes dull, dry skin to reveal glowing, soft, smooth skin. Deeply nourish and balance skin’s hydration to help restore skin's natural glow with Tree Hut Vitamin C Sugar Scrub. Natural Shea Butter is known to deeply moisturize, nourish, and soften dry skin while helping to promote elasticity. Natural oils condition skin to help prevent dryness and balance hydration for a refined, healthy glow. Tree Hut Shea Sugar Scrubs feature a 6-oil blend of: avocado oil, macadamia oil, sweet orange oil, sweet almond oil, evening primrose oil, and safflower oil.",Amanda M.,Felt difference after 1 Easy use,"Always had strawberry skin, The rest of my skin needs exfoliate now. This is used in the shower, so easy, it’s like covering urself in sand & scrubbing, it feels great to my skin too. I feel less bumps, after my first use.",8/10/2024,5,Yes,0
"Tree Hut Vitamin C Shea Sugar Scrub, 18 oz, Ultra Hydrating and Exfoliating Scrub for Nourishing Essential Body Care","Our Tree Hut Vitamin C Sugar Scrub contains vitamin C, a powerhouse antioxidant that is known to help boost skin for a brighter, firmer, and more even-toned appearance. This Tree Hut Vitamin C Scrub also contains alpha-hydroxy acid (AHA) which can help to reveal a fresher-looking tone and texture. Sugar is Tree Hut’s natural exfoliant: it effectively polishes away dead skin while helping to boost circulation to the skin surface. Tree Hut exfoliating body scrub removes dull, dry skin to reveal glowing, soft, smooth skin. Deeply nourish and balance skin’s hydration to help restore skin's natural glow with Tree Hut Vitamin C Sugar Scrub. Natural Shea Butter is known to deeply moisturize, nourish, and soften dry skin while helping to promote elasticity. Natural oils condition skin to help prevent dryness and balance hydration for a refined, healthy glow. Tree Hut Shea Sugar Scrubs feature a 6-oil blend of: avocado oil, macadamia oil, sweet orange oil, sweet almond oil, evening primrose oil, and safflower oil.",Grace D,Decreases bumps,"This product does decrease bumps but doesn’t not completely eliminates them. So far, I haven’t found a product that completely eliminates the problem but this product is better than other products I have tried in the past.",5/29/2024,4,Yes,0
"Tree Hut Vitamin C Shea Sugar Scrub, 18 oz, Ultra Hydrating and Exfoliating Scrub for Nourishing Essential Body Care","Our Tree Hut Vitamin C Sugar Scrub contains vitamin C, a powerhouse antioxidant that is known to help boost skin for a brighter, firmer, and more even-toned appearance. This Tree Hut Vitamin C Scrub also contains alpha-hydroxy acid (AHA) which can help to reveal a fresher-looking tone and texture. Sugar is Tree Hut’s natural exfoliant: it effectively polishes away dead skin while helping to boost circulation to the skin surface. Tree Hut exfoliating body scrub removes dull, dry skin to reveal glowing, soft, smooth skin. Deeply nourish and balance skin’s hydration to help restore skin's natural glow with Tree Hut Vitamin C Sugar Scrub. Natural Shea Butter is known to deeply moisturize, nourish, and soften dry skin while helping to promote elasticity. Natural oils condition skin to help prevent dryness and balance hydration for a refined, healthy glow. Tree Hut Shea Sugar Scrubs feature a 6-oil blend of: avocado oil, macadamia oil, sweet orange oil, sweet almond oil, evening primrose oil, and safflower oil.",Suzanne Weinman,LOVE this product!,"I have tried. everything, cannot even count how many products. I have. tried and this one the first time I used it, I knew this is gonna work. No. funny smell, no sticky reside,  it is amazing! Ordering another one after. using for only 2 weeks, I am customer for life on. this one.",8/18/2024,5,Yes,0
